ID,Item,Price,Stock,Sold_Units,Calories,Sugar_g
1,Vodka Baby Bottle,10.0,0.0,50,97,0.0
2,Coke,3.5,50.0,120,140,39.0
3,Water,2.0,30.0,250,0,0.0
4,Chips (Salted),4.2,25.0,80,160,0.5
5,Chocolate Bar,5.0,10.0,40,220,24.0
6,Energy Drink,6.5,60.0,150,210,54.0
7,Peanuts,3.8,0.0,75,170,1.0
8,Gummy Bears,2.8,20.0,30,100,20.0
9,Coffee,4.5,15.0,60,5,0.0
10,Soda (Diet),3.5,55.0,180,0,0.0
11,Sandwich,7.0,5.0,15,350,2.0
12,Pretzels,3.2,35.0,45,110,0.0
13,Protein Bar,5.5,18.0,35,250,5.0
14,Juice Box,3.0,40.0,110,120,28.0
15,Cookies,4.8,0.0,55,190,18.0
16,Iced Tea,3.8,65.0,130,150,35.0
17,Gum,1.5,80.0,220,10,2.0
18,Muffin,5.2,12.0,25,320,30.0
19,Milk (Small),2.5,22.0,70,150,12.0
20,Trail Mix,6.0,15.0,30,280,7.0
21,Crackers,2.5,33.0,65,130,1.0
22,Yogurt,4.0,27.0,50,160,15.0
23,Smoothie,5.8,0.0,40,240,45.0
24,Sparkling Water,2.2,70.0,190,0,0.0
25,Candy,3.0,18.0,48,110,22.0
26,Popcorn,3.5,42.0,85,140,0.0
27,Fruit Snacks,2.75,25.0,50,90,15.0
28,Cereal Bar,4.1,16.0,32,180,10.0
29,Mints,1.2,75.0,150,5,0.0
